Timestamp,Voltage (V),Current (A),Temperature,Mode
2023-11-15 20:15:41,3.14,0.59,23.83,Discharging
2023-11-15 20:15:29,3.14,0.6,22.98,Discharging
2023-11-15 20:15:18,3.14,0.6,23.89,Discharging
2023-11-15 20:15:07,3.14,0.62,23.55,Discharging
2023-11-15 20:14:56,3.14,0.62,23.61,Discharging
2023-11-15 20:14:45,3.14,0.61,23.52,Discharging
2023-11-15 20:14:34,3.14,0.68,23.4,Discharging
2023-11-15 20:14:23,3.14,0.64,23.35,Discharging
2023-11-15 20:14:12,3.14,0.6,23.72,Discharging
2023-11-15 20:14:00,3.14,0.65,23.62,Discharging
2023-11-15 20:13:49,3.14,0.61,23.61,Discharging
2023-11-15 20:13:38,3.14,0.62,23.6,Discharging
2023-11-15 20:13:27,3.14,0.6,23.54,Discharging
2023-11-15 20:13:16,3.14,0.61,23.63,Discharging
2023-11-15 20:13:05,3.14,0.62,23.56,Discharging
2023-11-15 20:12:54,3.14,0.62,23.6,Discharging
2023-11-15 20:12:43,3.14,0.61,23.59,Discharging
2023-11-15 20:12:32,3.14,0.62,23.52,Discharging
2023-11-15 20:12:20,3.14,0.61,23.41,Discharging
2023-11-15 20:12:09,3.14,0.61,23.52,Discharging
2023-11-15 20:11:58,3.14,0.62,23.58,Discharging
2023-11-15 20:11:47,3.13,0.62,23.59,Discharging
2023-11-15 20:11:36,3.09,0.98,23.02,Discharging
2023-11-15 20:11:25,3.11,0.92,22.93,Discharging
2023-11-15 20:11:14,3.14,0.75,23.42,Discharging
2023-11-15 20:11:03,3.14,0.64,23.51,Discharging
2023-11-15 20:10:52,3.14,0.63,23.35,Discharging
2023-11-15 20:10:40,3.13,0.63,23.53,Discharging
2023-11-15 20:10:29,2.98,2.9,23.19,Discharging
2023-11-15 20:10:18,3.14,0.67,23.26,Discharging
2023-11-15 20:10:07,3.15,0.67,23.31,Discharging
2023-11-15 20:09:56,3.15,0.66,23.15,Discharging
2023-11-15 20:09:45,3.15,0.64,23.19,Discharging
2023-11-15 20:09:34,3.15,0.63,23.27,Discharging
2023-11-15 20:09:23,3.15,0.64,23.51,Discharging
2023-11-15 20:09:11,3.15,0.65,23.18,Discharging
2023-11-15 20:09:00,3.15,0.63,23.42,Discharging
2023-11-15 20:08:49,3.15,0.63,23.45,Discharging
2023-11-15 20:08:38,3.15,0.64,23.29,Discharging
2023-11-15 20:08:27,3.15,0.67,23.49,Discharging
2023-11-15 20:08:16,3.14,0.68,23.43,Discharging
2023-11-15 20:08:05,3.15,0.65,23.26,Discharging
2023-11-15 20:07:54,3.14,0.64,23.4,Discharging
2023-11-15 20:07:43,3.09,1.42,22.79,Discharging
2023-11-15 20:07:31,3.15,0.68,23.29,Discharging
2023-11-15 20:07:20,3.15,0.68,23.22,Discharging
2023-11-15 20:07:09,3.15,0.65,23.23,Discharging
2023-11-15 20:06:58,3.15,0.65,23.29,Discharging
2023-11-15 20:06:47,3.15,0.66,23.46,Discharging
2023-11-15 20:06:36,3.15,0.66,23.28,Discharging
2023-11-15 20:06:25,3.15,0.66,23.25,Discharging
2023-11-15 20:06:14,3.15,0.67,23.17,Discharging
2023-11-15 20:06:02,3.15,0.66,23.25,Discharging
2023-11-15 20:05:51,3.15,0.67,23.28,Discharging
